structure,data_size,operation,round,execution_time,memory_usage_mb,peak_memory_mb,cpu_percent,iterations,hash_table_size,hash_function,load_factor,collision_rate,avg_chain_length,max_chain_length,balanced,tree_height
LinearArray,1000,insert,1,0.00040149997221305966,0.0,0.00852203369140625,0.1,1000.0,,,,,,,,
LinearArray,1000,insert,2,0.0008237499860115349,0.0,0.0084991455078125,0.1,1000.0,,,,,,,,
LinearArray,1000,insert,3,0.0008674169657751918,0.0,0.0084991455078125,0.1,1000.0,,,,,,,,
LinearArray,1000,insert,4,0.0008234590059146285,0.0,0.0084991455078125,0.0,1000.0,,,,,,,,
LinearArray,1000,insert,5,0.0008167920168489218,0.0,0.0084991455078125,0.1,1000.0,,,,,,,,
LinearArray,1000,search,1,7.762733398703858e-05,0.0,2.13623046875e-07,0.0,500.5,,,,,,,,
LinearArray,1000,search,2,0.00011296574998414144,0.0,2.13623046875e-07,0.1,500.5,,,,,,,,
LinearArray,1000,search,3,0.00011276454199105502,0.0,2.13623046875e-07,0.1,500.5,,,,,,,,
LinearArray,1000,search,4,0.00010432208300335333,0.0,2.13623046875e-07,0.0,500.5,,,,,,,,
LinearArray,1000,search,5,0.00011188604199560359,0.0,2.13623046875e-07,0.0,500.5,,,,,,,,
BST,1000,insert,1,0.00499149999814108,0.171875,0.086883544921875,0.1,10557.0,,,,,,,False,21
BST,1000,insert,2,0.009609000000637025,0.015625,0.0840606689453125,0.1,11752.0,,,,,,,False,21
BST,1000,insert,3,0.010549790982622653,0.046875,0.0840606689453125,0.1,11057.0,,,,,,,False,24
BST,1000,insert,4,0.009681291005108505,0.078125,0.0840606689453125,0.1,10654.0,,,,,,,False,22
BST,1000,insert,5,0.011473666003439575,0.0,0.0840606689453125,0.1,10597.0,,,,,,,False,21
BST,1000,search,1,5.863917001988739e-06,0.0,1.068115234375e-07,0.1,11.556,,,,,,,False,
BST,1000,search,2,7.84779101377353e-06,0.0,1.068115234375e-07,0.1,12.751,,,,,,,False,
BST,1000,search,3,6.411625014152378e-06,0.0,1.068115234375e-07,0.1,12.056,,,,,,,False,
BST,1000,search,4,8.771708002313972e-06,0.0,1.068115234375e-07,0.1,11.653,,,,,,,False,
