structure,data_size,operation,round,execution_time,memory_usage_mb,peak_memory_mb,cpu_percent,iterations,hash_table_size,hash_function,load_factor,collision_rate,avg_chain_length,max_chain_length,balanced,tree_height
LinearArray,10000,insert,1,0.004964832973200828,0.03125,0.08130645751953125,0.1,10000.0,,,,,,,,
LinearArray,10000,insert,2,0.009566082968376577,0.0,0.0812835693359375,0.1,10000.0,,,,,,,,
LinearArray,10000,insert,3,0.009908749954774976,0.0,0.0812835693359375,0.1,10000.0,,,,,,,,
LinearArray,10000,insert,4,0.00974691699957475,0.0,0.0812835693359375,0.1,10000.0,,,,,,,,
LinearArray,10000,insert,5,0.009874833980575204,0.0,0.0812835693359375,0.1,10000.0,,,,,,,,
LinearArray,10000,search,1,0.0011236992920166814,0.0,2.13623046875e-07,0.0,4929.008,,,,,,,,
LinearArray,10000,search,2,0.0011386042090016418,0.0,2.13623046875e-07,0.0,5024.853,,,,,,,,
LinearArray,10000,search,3,0.0011577279579942114,0.0,2.13623046875e-07,0.1,4956.172,,,,,,,,
LinearArray,10000,search,4,0.001140910750022158,0.0,2.13623046875e-07,0.0,4976.779,,,,,,,,
LinearArray,10000,search,5,0.0011546019579982386,0.0,2.13623046875e-07,0.0,4983.893,,,,,,,,
BST,10000,insert,1,0.045879292010795325,1.796875,0.842193603515625,0.0,163839.0,,,,,,,False,33
BST,10000,insert,2,0.06283595802960917,1.03125,0.8393707275390625,0.1,152173.0,,,,,,,False,32
BST,10000,insert,3,0.07421908300602809,1.359375,0.83941650390625,0.0,154645.0,,,,,,,False,29
BST,10000,insert,4,0.06160999997518957,0.125,0.8393707275390625,0.0,166766.0,,,,,,,False,32
BST,10000,insert,5,0.061324416019488126,0.015625,0.8393707275390625,0.0,161646.0,,,,,,,False,31
BST,10000,search,1,5.262665974441916e-06,0.0,1.068115234375e-07,0.1,17.312,,,,,,,False,
BST,10000,search,2,6.240833026822657e-06,0.0,1.068115234375e-07,0.1,16.52,,,,,,,False,
BST,10000,search,3,5.6602919939905406e-06,0.0,1.068115234375e-07,0.1,16.649,,,,,,,False,
BST,10000,search,4,5.913250031881034e-06,0.0,1.068115234375e-07,0.0,17.529,,,,,,,False,
BST,10000,search,5,5.429000011645257e-06,0.0,1.068115234375e-07,0.1,17.12,,,,,,,False,
AVL,10000,insert,1,0.16254291700897738,0.03125,0.9183120727539062,0.1,137658.0,,,,,,,True,16
AVL,10000,insert,2,0.16365933400811628,0.046875,0.915679931640625,0.0,138170.0,,,,,,,True,16
AVL,10000,insert,3,0.16677383397473022,0.0,0.915679931640625,0.1,138379.0,,,,,,,True,16
AVL,10000,insert,4,0.16454045800492167,0.078125,0.915679931640625,0.0,138414.0,,,,,,,True,16
AVL,10000,insert,5,0.16655579203506932,0.0,0.915679931640625,0.0,138179.0,,,,,,,True,16
AVL,10000,search,1,4.635624994989484e-06,0.0,1.068115234375e-07,0.1,12.557,,,,,,,True,
AVL,10000,search,2,4.549957986455411e-06,0.0,1.068115234375e-07,0.1,12.58,,,,,,,True,
AVL,10000,search,3,4.786374978721142e-06,0.0,1.068115234375e-07,0.1,12.607,,,,,,,True,
AVL,10000,search,4,4.341457970440387e-06,0.0,1.068115234375e-07,0.1,12.702,,,,,,,True,
AVL,10000,search,5,4.725624981801957e-06,0.0,1.068115234375e-07,0.1,12.593,,,,,,,True,
HashTable,10000,insert,1,0.06660324998665601,0.0,0.0828704833984375,0.0,510671.0,100,division,100.0,0.99,100.0,125,,
HashTable,10000,insert,2,0.06825279199983925,0.0,0.0828704833984375,0.0,510671.0,100,division,100.0,0.99,100.0,125,,
HashTable,10000,insert,3,0.06960650003748015,0.0,0.0828704833984375,0.0,510671.0,100,division,100.0,0.99,100.0,125,,
HashTable,10000,insert,4,0.06752020795829594,0.0,0.0828704833984375,0.0,510671.0,100,division,100.0,0.99,100.0,125,,
HashTable,10000,insert,5,0.07118137495126575,0.0,0.0828704833984375,0.0,510671.0,100,division,100.0,0.99,100.0,125,,
HashTable,10000,search,1,6.75041601061821e-06,0.0,1.220703125e-07,0.1,50.578,100,division,,,,,,
HashTable,10000,search,2,7.407166995108128e-06,0.0,1.220703125e-07,0.1,51.348,100,division,,,,,,
HashTable,10000,search,3,7.174083963036537e-06,0.0,1.220703125e-07,0.1,52.153,100,division,,,,,,
HashTable,10000,search,4,6.8897080491296945e-06,0.0,1.220703125e-07,0.1,51.046,100,division,,,,,,
HashTable,10000,search,5,7.105334021616727e-06,0.0,1.220703125e-07,0.1,52.552,100,division,,,,,,
HashTable,10000,insert,1,0.07017108303261921,0.0,0.083587646484375,0.0,510340.0,100,multiplication,100.0,0.99,100.0,130,,
HashTable,10000,insert,2,0.07389025000156835,0.0,0.083587646484375,0.0,510340.0,100,multiplication,100.0,0.99,100.0,130,,
HashTable,10000,insert,3,0.07206995796877891,0.0,0.083587646484375,0.0,510340.0,100,multiplication,100.0,0.99,100.0,130,,
HashTable,10000,insert,4,0.07289245800347999,0.0,0.083587646484375,0.1,510340.0,100,multiplication,100.0,0.99,100.0,130,,
HashTable,10000,insert,5,0.07266775000607595,0.0,0.083587646484375,0.0,510340.0,100,multiplication,100.0,0.99,100.0,130,,
HashTable,10000,search,1,7.155624974984676e-06,0.0,1.220703125e-07,0.1,51.195,100,multiplication,,,,,,
HashTable,10000,search,2,7.876333955209702e-06,0.0,1.220703125e-07,0.1,52.832,100,multiplication,,,,,,
HashTable,10000,search,3,7.099084032233805e-06,0.0,1.220703125e-07,0.1,51.1,100,multiplication,,,,,,
HashTable,10000,search,4,7.703249983023852e-06,0.0,1.220703125e-07,0.1,52.56,100,multiplication,,,,,,
HashTable,10000,search,5,9.599874960258603e-06,0.0,1.220703125e-07,0.1,52.184,100,multiplication,,,,,,
HashTable,10000,insert,1,0.11967579199699685,0.0,0.08358955383300781,0.0,510663.0,100,folding,100.0,0.99,100.0,137,,
HashTable,10000,insert,2,0.1201531250262633,0.0,0.08358955383300781,0.0,510663.0,100,folding,100.0,0.99,100.0,137,,
HashTable,10000,insert,3,0.10516470798756927,0.0,0.08358955383300781,0.1,510663.0,100,folding,100.0,0.99,100.0,137,,
HashTable,10000,insert,4,0.11057258397340775,0.0,0.08358955383300781,0.0,510663.0,100,folding,100.0,0.99,100.0,137,,
HashTable,10000,insert,5,0.11354537500301376,0.0,0.08358955383300781,0.1,510663.0,100,folding,100.0,0.99,100.0,137,,
HashTable,10000,search,1,1.5575792000163348e-05,0.0,7.038116455078125e-07,0.1,53.59,100,folding,,,,,,
HashTable,10000,search,2,1.309295796090737e-05,0.0,7.038116455078125e-07,0.0,53.994,100,folding,,,,,,
HashTable,10000,search,3,1.4129041985142976e-05,0.0,7.038116455078125e-07,0.0,51.776,100,folding,,,,,,
HashTable,10000,search,4,1.36008330155164e-05,0.0,7.038116455078125e-07,0.0,51.402,100,folding,,,,,,
HashTable,10000,search,5,1.1310249974485486e-05,0.0,7.038116455078125e-07,0.1,54.025,100,folding,,,,,,
HashTable,10000,insert,1,0.052614792017266154,0.0,0.103546142578125,0.0,59831.0,1000,division,10.0,0.9,10.0,25,,
HashTable,10000,insert,2,0.022543624974787235,0.0,0.103546142578125,0.0,59831.0,1000,division,10.0,0.9,10.0,25,,
HashTable,10000,insert,3,0.02806762495310977,0.03125,0.103546142578125,0.1,59831.0,1000,division,10.0,0.9,10.0,25,,
HashTable,10000,insert,4,0.052682541019748896,0.0,0.103546142578125,0.1,59831.0,1000,division,10.0,0.9,10.0,25,,
HashTable,10000,insert,5,0.05125054199015722,0.0,0.103546142578125,0.0,59831.0,1000,division,10.0,0.9,10.0,25,,
HashTable,10000,search,1,2.066708984784782e-06,0.0,1.52587890625e-07,0.0,7.014,1000,division,,,,,,
HashTable,10000,search,2,2.143499965313822e-06,0.0,1.52587890625e-07,0.0,7.11,1000,division,,,,,,
HashTable,10000,search,3,6.258207955397666e-06,0.0,1.52587890625e-07,0.1,7.017,1000,division,,,,,,
HashTable,10000,search,4,5.934417014941573e-06,0.0,1.52587890625e-07,0.1,7.107,1000,division,,,,,,
HashTable,10000,search,5,6.346042035147548e-06,0.0,1.52587890625e-07,0.1,6.924,1000,division,,,,,,
HashTable,10000,insert,1,0.05185079196235165,0.0,0.1026458740234375,0.1,59984.0,1000,multiplication,10.0,0.9,10.0,20,,
HashTable,10000,insert,2,0.0574844169896096,0.015625,0.1026458740234375,0.0,59984.0,1000,multiplication,10.0,0.9,10.0,20,,
HashTable,10000,insert,3,0.05410562502220273,0.015625,0.1026458740234375,0.0,59984.0,1000,multiplication,10.0,0.9,10.0,20,,
HashTable,10000,insert,4,0.05692837497917935,0.015625,0.1026458740234375,0.1,59984.0,1000,multiplication,10.0,0.9,10.0,20,,
HashTable,10000,insert,5,0.056168709008488804,0.015625,0.1026458740234375,0.0,59984.0,1000,multiplication,10.0,0.9,10.0,20,,
HashTable,10000,search,1,5.0454160082153976e-06,0.0,1.52587890625e-07,0.1,6.949,1000,multiplication,,,,,,
HashTable,10000,search,2,6.950540991965681e-06,0.0,1.52587890625e-07,0.1,7.104,1000,multiplication,,,,,,
HashTable,10000,search,3,5.8758339728228744e-06,0.0,1.52587890625e-07,0.1,7.123,1000,multiplication,,,,,,
HashTable,10000,search,4,6.048290990293026e-06,0.0,1.52587890625e-07,0.1,7.008,1000,multiplication,,,,,,
HashTable,10000,search,5,6.1066659982316195e-06,0.0,1.52587890625e-07,0.1,7.031,1000,multiplication,,,,,,
HashTable,10000,insert,1,0.1116590000456199,0.125,0.10260200500488281,0.0,60284.0,1000,folding,10.0,0.9,10.0,26,,
HashTable,10000,insert,2,0.11118925001937896,0.109375,0.10260200500488281,0.0,60284.0,1000,folding,10.0,0.9,10.0,26,,
HashTable,10000,insert,3,0.10847591701894999,0.125,0.10260200500488281,0.0,60284.0,1000,folding,10.0,0.9,10.0,26,,
HashTable,10000,insert,4,0.10944108403054997,0.109375,0.10260200500488281,0.0,60284.0,1000,folding,10.0,0.9,10.0,26,,
HashTable,10000,insert,5,0.09048850002000108,0.0,0.10260200500488281,0.0,60284.0,1000,folding,10.0,0.9,10.0,26,,
HashTable,10000,search,1,1.3534875004552305e-05,0.0,7.038116455078125e-07,0.1,7.221,1000,folding,,,,,,
HashTable,10000,search,2,1.3570041977800429e-05,0.0,7.038116455078125e-07,0.1,7.027,1000,folding,,,,,,
HashTable,10000,search,3,1.3397375005297362e-05,0.0,7.038116455078125e-07,0.1,7.17,1000,folding,,,,,,
HashTable,10000,search,4,1.3128291990142316e-05,0.0,7.038116455078125e-07,0.1,6.932,1000,folding,,,,,,
HashTable,10000,search,5,1.3614416995551437e-05,0.0,7.038116455078125e-07,0.1,7.05,1000,folding,,,,,,
HashTable,10000,insert,1,0.047150917001999915,0.0,0.140472412109375,0.1,19936.0,5000,division,2.0,0.567,2.3094688221709005,10,,
HashTable,10000,insert,2,0.047868333000224084,0.0,0.140472412109375,0.1,19936.0,5000,division,2.0,0.567,2.3094688221709005,10,,
HashTable,10000,insert,3,0.045513874967582524,0.140625,0.140472412109375,0.1,19936.0,5000,division,2.0,0.567,2.3094688221709005,10,,
HashTable,10000,insert,4,0.045794415986165404,0.140625,0.140472412109375,0.1,19936.0,5000,division,2.0,0.567,2.3094688221709005,10,,
HashTable,10000,insert,5,0.047970374987926334,0.140625,0.140472412109375,0.1,19936.0,5000,division,2.0,0.567,2.3094688221709005,10,,
HashTable,10000,search,1,5.055583023931831e-06,0.0,1.52587890625e-07,0.1,2.934,5000,division,,,,,,
HashTable,10000,search,2,5.92291698558256e-06,0.0,1.52587890625e-07,0.1,3.007,5000,division,,,,,,
HashTable,10000,search,3,5.289583990816027e-06,0.0,1.52587890625e-07,0.1,2.974,5000,division,,,,,,
HashTable,10000,search,4,3.69654200039804e-06,0.0,1.52587890625e-07,0.1,2.963,5000,division,,,,,,
HashTable,10000,search,5,6.320791959296912e-06,0.0,1.52587890625e-07,0.1,2.95,5000,division,,,,,,
HashTable,10000,insert,1,0.04939437500433996,0.0,0.140289306640625,0.1,19985.0,5000,multiplication,2.0,0.568,2.314814814814815,8,,
HashTable,10000,insert,2,0.051705542020499706,0.140625,0.140289306640625,0.0,19985.0,5000,multiplication,2.0,0.568,2.314814814814815,8,,
HashTable,10000,insert,3,0.050027958990540355,0.140625,0.140289306640625,0.0,19985.0,5000,multiplication,2.0,0.568,2.314814814814815,8,,
HashTable,10000,insert,4,0.05287412501638755,0.15625,0.140289306640625,0.0,19985.0,5000,multiplication,2.0,0.568,2.314814814814815,8,,
HashTable,10000,insert,5,0.05259754095459357,0.171875,0.140289306640625,0.1,19985.0,5000,multiplication,2.0,0.568,2.314814814814815,8,,
HashTable,10000,search,1,6.243125011678785e-06,0.0,1.52587890625e-07,0.1,3.022,5000,multiplication,,,,,,
HashTable,10000,search,2,5.970708967652172e-06,0.0,1.52587890625e-07,0.1,3.015,5000,multiplication,,,,,,
HashTable,10000,search,3,5.438499967567622e-06,0.0,1.52587890625e-07,0.1,2.94,5000,multiplication,,,,,,
HashTable,10000,search,4,3.475500037893653e-06,0.0,1.52587890625e-07,0.1,2.972,5000,multiplication,,,,,,
HashTable,10000,search,5,5.949624988716095e-06,0.0,1.52587890625e-07,0.1,3.062,5000,multiplication,,,,,,
HashTable,10000,insert,1,0.1093676250311546,0.0,0.11322212219238281,0.1,38666.0,5000,folding,2.0,0.7838,4.6253469010175765,19,,
HashTable,10000,insert,2,0.10857345798285678,0.09375,0.11322212219238281,0.1,38666.0,5000,folding,2.0,0.7838,4.6253469010175765,19,,
HashTable,10000,insert,3,0.10854670801199973,0.078125,0.11322212219238281,0.0,38666.0,5000,folding,2.0,0.7838,4.6253469010175765,19,,
HashTable,10000,insert,4,0.1071530839544721,0.078125,0.11322212219238281,0.1,38666.0,5000,folding,2.0,0.7838,4.6253469010175765,19,,
HashTable,10000,insert,5,0.1096334169851616,0.125,0.11322212219238281,0.0,38666.0,5000,folding,2.0,0.7838,4.6253469010175765,19,,
HashTable,10000,search,1,1.3580291997641326e-05,0.0,7.038116455078125e-07,0.1,4.723,5000,folding,,,,,,
HashTable,10000,search,2,1.312479202169925e-05,0.0,7.038116455078125e-07,0.1,5.038,5000,folding,,,,,,
HashTable,10000,search,3,1.2590457976330072e-05,0.0,7.038116455078125e-07,0.1,4.942,5000,folding,,,,,,
HashTable,10000,search,4,1.3430541031993925e-05,0.0,7.038116455078125e-07,0.1,4.751,5000,folding,,,,,,
HashTable,10000,search,5,1.2835500005166978e-05,0.0,7.038116455078125e-07,0.1,4.912,5000,folding,,,,,,
LinearArray,50000,insert,1,0.02427304198499769,0.0,0.4238433837890625,0.1,50000.0,,,,,,,,
LinearArray,50000,insert,2,0.041184375004377216,0.0,0.4238433837890625,0.0,50000.0,,,,,,,,
LinearArray,50000,insert,3,0.04285970801720396,0.0,0.4238433837890625,0.1,50000.0,,,,,,,,
LinearArray,50000,insert,4,0.04079295799601823,0.0,0.4238433837890625,0.0,50000.0,,,,,,,,
LinearArray,50000,insert,5,0.04014695802470669,0.390625,0.4238433837890625,0.0,50000.0,,,,,,,,
LinearArray,50000,search,1,0.00582944362499984,0.0,2.13623046875e-07,0.0,24973.14,,,,,,,,
LinearArray,50000,search,2,0.006009372375032399,0.0,2.13623046875e-07,0.1,25366.193,,,,,,,,
LinearArray,50000,search,3,0.006006134167022537,0.0,2.13623046875e-07,0.1,25056.845,,,,,,,,
LinearArray,50000,search,4,0.006317421959014609,0.0,2.13623046875e-07,0.0,26253.408,,,,,,,,
LinearArray,50000,search,5,0.0060384789169766005,0.0,2.13623046875e-07,0.1,24813.187,,,,,,,,
BST,50000,insert,1,0.19398749998072162,6.640625,4.1963043212890625,0.0,919101.0,,,,,,,False,37
BST,50000,insert,2,0.22972687502624467,7.71875,4.19635009765625,0.0,952505.0,,,,,,,False,38
BST,50000,insert,3,0.20965237502241507,2.375,4.1963043212890625,0.1,945503.0,,,,,,,False,36
BST,50000,insert,4,0.21258550003403798,4.6875,4.19635009765625,0.0,952355.0,,,,,,,False,38
BST,50000,insert,5,0.23400408402085304,1.671875,4.19635009765625,0.1,1009403.0,,,,,,,False,38
BST,50000,search,1,7.286459032911807e-06,0.0,1.068115234375e-07,0.1,19.418,,,,,,,False,
BST,50000,search,2,8.05624999338761e-06,0.0,1.068115234375e-07,0.1,20.079,,,,,,,False,
BST,50000,search,3,7.270750007592142e-06,0.0,1.068115234375e-07,0.1,19.972,,,,,,,False,
BST,50000,search,4,7.266250031534583e-06,0.0,1.068115234375e-07,0.1,19.98,,,,,,,False,
BST,50000,search,5,7.629500003531576e-06,0.0,1.068115234375e-07,0.1,21.141,,,,,,,False,
AVL,50000,insert,1,0.7911846250062808,5.296875,4.577789306640625,0.0,807039.0,,,,,,,True,19
AVL,50000,insert,2,0.8456914580310695,2.359375,4.577888488769531,0.1,809511.0,,,,,,,True,19
AVL,50000,insert,3,0.8208069169777445,1.703125,4.577789306640625,0.0,811634.0,,,,,,,True,19
AVL,50000,insert,4,0.8718003749963827,1.375,4.577888488769531,0.0,807974.0,,,,,,,True,19
AVL,50000,insert,5,1.1529124999651685,0.78125,4.577789306640625,0.0,807026.0,,,,,,,True,19
AVL,50000,search,1,6.277209031395614e-06,0.0,1.068115234375e-07,0.1,14.898,,,,,,,True,
AVL,50000,search,2,6.375500001013279e-06,0.0,1.068115234375e-07,0.1,14.948,,,,,,,True,
AVL,50000,search,3,6.110875052399933e-06,0.0,1.068115234375e-07,0.1,15.003,,,,,,,True,
AVL,50000,search,4,6.077665952034294e-06,0.0,1.068115234375e-07,0.1,14.962,,,,,,,True,
AVL,50000,search,5,3.644041018560529e-06,0.0,1.068115234375e-07,0.1,14.838,,,,,,,True,
HashTable,50000,insert,1,2.093484375043772,0.171875,0.407562255859375,0.0,12553721.0,100,division,500.0,0.998,500.0,547,,
