structure,data_size,operation,mean_time,std_time,mean_memory,std_memory,mean_iterations,std_iterations,avg_cpu_percent,avg_memory_usage_mb,avg_peak_memory_mb,hash_table_size,hash_function,avg_load_factor,avg_collision_rate,avg_chain_length,max_chain_length,balanced,avg_height
LinearArray,1000,insert,0.0007465835893526674,0.00017348032361752636,0.0,0.0,1000.0,0.0,0.08,0.0,0.00850372314453125,,,,,,,,
LinearArray,1000,search,0.00010391315019223839,1.3527564918301007e-05,0.0,0.0,500.5,0.0,0.04,0.0,2.1362304687500003e-07,,,,,,,,
BST,1000,insert,0.009261049597989767,0.002239788017766803,0.0625,0.06091746465505602,10923.4,451.17384675976064,0.1,0.0625,0.084625244140625,,,,,,,False,21.8
BST,1000,search,7.610149809625e-06,1.2868746364516437e-06,0.0,0.0,11.9224,0.4511738467597605,0.1,0.0,1.0681152343750002e-07,,,,,,,False,0
AVL,1000,insert,0.02989299180917442,0.0008280956134732432,0.0125,0.015309310892394864,10432.4,34.909024621149186,0.1,0.0125,0.09223175048828125,,,,,,,True,12.0
AVL,1000,search,7.326258195098489e-06,7.904644208581761e-07,0.0,0.0,9.2054,0.014595889832415387,0.1,0.0,1.0681152343750002e-07,,,,,,,True,0
HashTable,1000,insert,0.007308483589440584,0.001336266079837875,0.0,0.0,6081.0,0.0,0.1,0.0,0.01025390625,100,division,10.0,0.9,10.0,18.0,,
HashTable,1000,search,6.593799998518079e-06,5.01996910082879e-07,0.0,0.0,7.081,0.0,0.08,0.0,1.220703125e-07,100,division,0,0,0,0,,
HashTable,1000,insert,0.00677839161362499,0.0021433434434463858,0.0,0.0,5930.0,0.0,0.08,0.0,0.010711669921875,100,multiplication,10.0,0.9,10.0,21.0,,
HashTable,1000,search,5.780083208810538e-06,1.6757362518331115e-06,0.0,0.0,6.93,0.0,0.1,0.0,1.220703125e-07,100,multiplication,0,0,0,0,,
HashTable,1000,insert,0.021691400196868927,0.0006422111558898473,0.00625,0.007654655446197432,5931.0,0.0,0.1,0.00625,0.010988235473632812,100,folding,10.0,0.9,10.0,18.0,,
HashTable,1000,search,2.058395001804456e-05,6.571502409566264e-07,0.0,0.0,6.931,0.0,0.1,0.0,7.038116455078125e-07,100,folding,0,0,0,0,,
HashTable,1000,insert,0.005939041206147522,0.0007982900458159818,0.015625,0.009882117688026186,1527.0,0.0,0.1,0.015625,0.019134521484375,1000,division,1.0,0.384,1.6233766233766231,5.0,,
HashTable,1000,search,6.170400197152048e-06,8.055763393319891e-07,0.0,0.0,2.527,0.0,0.1,0.0,1.52587890625e-07,1000,division,0,0,0,0,,
HashTable,1000,insert,0.0077187334070913495,0.0004563649976451839,0.015625,0.013975424859373685,1472.0,0.0,0.1,0.015625,0.02008056640625,1000,multiplication,1.0,0.352,1.5432098765432098,5.0,,
HashTable,1000,search,8.058691595215351e-06,6.640797579129487e-07,0.0,0.0,2.472,0.0,0.1,0.0,1.52587890625e-07,1000,multiplication,0,0,0,0,,
